name,slug,bookImageUrl,pdfUrl,description,language
"Short Stories in English For Beginners","short-stories-english-beginners","/free-books/1.png","https://drive.google.com/file/d/1vCj5LuuCMqPNc_ns8wGgO6xlDrriABUn/view?usp=sharing","Improve your English reading skills with engaging short stories designed for beginners","en"
"99 English Conversations: Uncover a Museum Secret","99-english-conversations-museum","/free-books/2.png","https://drive.google.com/file/d/18yqWdwi9hy-xAqrFmW_yi9WBxCazN9dP/view?usp=sharing","Practice English through 99 conversations while solving a thrilling museum mystery","en"
